203  11519 |Loss: 0.063 | Acc: 98.014% 
203  11520 |Loss: 0.064 | Acc: 97.950% 
203  11521 |Loss: 0.066 | Acc: 97.920% 
203  11522 |Loss: 0.066 | Acc: 97.898% 
203  11523 |Loss: 0.067 | Acc: 97.743% 
203  11524 |Loss: 0.070 | Acc: 97.664% 
203  11525 |Loss: 0.069 | Acc: 97.691% 
203  11526 |Loss: 0.068 | Acc: 97.696% 
203  11527 |Loss: 0.070 | Acc: 97.691% 
203  11528 |Loss: 0.070 | Acc: 97.743% 
203  11529 |Loss: 0.070 | Acc: 97.720% 
203  11530 |Loss: 0.070 | Acc: 97.743% 
203  11531 |Loss: 0.071 | Acc: 97.690% 
203  11532 |Loss: 0.070 | Acc: 97.699% 
203  11533 |Loss: 0.070 | Acc: 97.725% 
203  11534 |Loss: 0.071 | Acc: 97.709% 
203  11535 |Loss: 0.070 | Acc: 97.727% 
203  11536 |Loss: 0.071 | Acc: 97.712% 
203  11537 |Loss: 0.070 | Acc: 97.718% 
203  11538 |Loss: 0.071 | Acc: 97.677% 
203  11539 |Loss: 0.072 | Acc: 97.661% 
203  11540 |Loss: 0.072 | Acc: 97.643% 
203  11541 |Loss: 0.073 | Acc: 97.634% 
203  11542 |Loss: 0.073 | Acc: 97.630% 
203  11543 |Loss: 0.073 | Acc: 97.630% 
203  11544 |Loss: 0.073 | Acc: 97.619% 
203  11545 |Loss: 0.072 | Acc: 97.641% 
203  11546 |Loss: 0.072 | Acc: 97.662% 
203  11547 |Loss: 0.072 | Acc: 97.681% 
203  11548 |Loss: 0.072 | Acc: 97.680% 
203  11549 |Loss: 0.071 | Acc: 97.701% 
203  11550 |Loss: 0.072 | Acc: 97.686% 
203  11551 |Loss: 0.071 | Acc: 97.697% 
203  11552 |Loss: 0.071 | Acc: 97.683% 
203  11553 |Loss: 0.071 | Acc: 97.685% 
203  11554 |Loss: 0.071 | Acc: 97.683% 
203  11555 |Loss: 0.071 | Acc: 97.699% 
203  11556 |Loss: 0.071 | Acc: 97.689% 
203  11557 |Loss: 0.072 | Acc: 97.659% 
203  11558 |Loss: 0.072 | Acc: 97.666% 
203  11559 |Loss: 0.072 | Acc: 97.637% 
203  11560 |Loss: 0.073 | Acc: 97.625% 
203  11561 |Loss: 0.073 | Acc: 97.625% 
203  11562 |Loss: 0.072 | Acc: 97.627% 
203  11563 |Loss: 0.072 | Acc: 97.625% 
203  11564 |Loss: 0.073 | Acc: 97.632% 
203  11565 |Loss: 0.072 | Acc: 97.647% 
203  11566 |Loss: 0.072 | Acc: 97.652% 
203  11567 |Loss: 0.072 | Acc: 97.647% 
203  11568 |Loss: 0.072 | Acc: 97.634% 
203  11569 |Loss: 0.072 | Acc: 97.640% 
203  11570 |Loss: 0.072 | Acc: 97.656% 
203  11571 |Loss: 0.072 | Acc: 97.646% 
204  11572 |Loss: 0.067 | Acc: 97.743% 
204  11573 |Loss: 0.067 | Acc: 97.630% 
204  11574 |Loss: 0.073 | Acc: 97.667% 
204  11575 |Loss: 0.073 | Acc: 97.686% 
204  11576 |Loss: 0.072 | Acc: 97.630% 
204  11577 |Loss: 0.071 | Acc: 97.686% 
204  11578 |Loss: 0.071 | Acc: 97.694% 
204  11579 |Loss: 0.071 | Acc: 97.686% 
204  11580 |Loss: 0.071 | Acc: 97.667% 
204  11581 |Loss: 0.070 | Acc: 97.731% 
204  11582 |Loss: 0.070 | Acc: 97.702% 
204  11583 |Loss: 0.070 | Acc: 97.705% 
204  11584 |Loss: 0.069 | Acc: 97.734% 
204  11585 |Loss: 0.069 | Acc: 97.759% 
204  11586 |Loss: 0.069 | Acc: 97.765% 
204  11587 |Loss: 0.069 | Acc: 97.750% 
204  11588 |Loss: 0.069 | Acc: 97.763% 
204  11589 |Loss: 0.069 | Acc: 97.787% 
204  11590 |Loss: 0.070 | Acc: 97.784% 
204  11591 |Loss: 0.070 | Acc: 97.793% 
204  11592 |Loss: 0.070 | Acc: 97.802% 
204  11593 |Loss: 0.070 | Acc: 97.763% 
204  11594 |Loss: 0.070 | Acc: 97.728% 
204  11595 |Loss: 0.071 | Acc: 97.733% 
204  11596 |Loss: 0.071 | Acc: 97.720% 
204  11597 |Loss: 0.070 | Acc: 97.738% 
204  11598 |Loss: 0.070 | Acc: 97.738% 
204  11599 |Loss: 0.071 | Acc: 97.706% 
204  11600 |Loss: 0.072 | Acc: 97.684% 
204  11601 |Loss: 0.072 | Acc: 97.690% 
204  11602 |Loss: 0.071 | Acc: 97.699% 
204  11603 |Loss: 0.071 | Acc: 97.707% 
204  11604 |Loss: 0.072 | Acc: 97.667% 
204  11605 |Loss: 0.071 | Acc: 97.693% 
204  11606 |Loss: 0.072 | Acc: 97.691% 
204  11607 |Loss: 0.072 | Acc: 97.683% 
204  11608 |Loss: 0.072 | Acc: 97.676% 
204  11609 |Loss: 0.072 | Acc: 97.689% 
204  11610 |Loss: 0.072 | Acc: 97.673% 
204  11611 |Loss: 0.073 | Acc: 97.661% 
204  11612 |Loss: 0.072 | Acc: 97.657% 
204  11613 |Loss: 0.073 | Acc: 97.630% 
204  11614 |Loss: 0.073 | Acc: 97.646% 
204  11615 |Loss: 0.073 | Acc: 97.627% 
204  11616 |Loss: 0.073 | Acc: 97.635% 
204  11617 |Loss: 0.073 | Acc: 97.657% 
204  11618 |Loss: 0.072 | Acc: 97.668% 
204  11619 |Loss: 0.072 | Acc: 97.674% 
204  11620 |Loss: 0.072 | Acc: 97.685% 
204  11621 |Loss: 0.072 | Acc: 97.664% 
204  11622 |Loss: 0.072 | Acc: 97.663% 
204  11623 |Loss: 0.072 | Acc: 97.662% 
204  11624 |Loss: 0.072 | Acc: 97.664% 
204  11625 |Loss: 0.072 | Acc: 97.651% 
204  11626 |Loss: 0.072 | Acc: 97.661% 
204  11627 |Loss: 0.072 | Acc: 97.672% 
204  11628 |Loss: 0.072 | Acc: 97.676% 
